mutation,file,line,col,corresponding_mutabnt,ghost,entangled,note
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,1620,31.149,0,1,0,Halide internals
cxx_post_inc_to_post_dec,halide_dotProduct.halide_generated.cpp,1620,40.152,0,1,0,Halide internals
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,1620,25.151,0,1,0,Halide internals
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,1620,25.15,0,1,0,Halide internals
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,1637,49.159,0,1,0,Halide internals
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,1637,30.158,0,1,0,Halide internals
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,1637,18.153,0,1,0,Halide internals
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,1640,30.154,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,1641,14.157,0,1,0,Halide internals
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,1646,52.156,0,1,0,Halide internals
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,1646,40.155,0,1,0,Halide internals
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,1646,88.161,0,1,0,Halide internals
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,1646,69.16,0,1,0,Halide internals
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,1662,11.165,0,1,0,Halide internals
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,1662,11.164,0,1,0,Halide internals
cxx_pre_inc_to_pre_dec,halide_dotProduct.halide_generated.cpp,1663,42.168,0,1,0,Halide internals
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,1663,27.167,0,1,0,Halide internals
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,1663,27.166,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,1664,68.162,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,1665,32.163,0,1,0,Halide internals
cxx_pre_inc_to_pre_dec,halide_dotProduct.halide_generated.cpp,1681,38.172,0,1,0,Halide internals
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,1681,23.171,0,1,0,Halide internals
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,1681,23.17,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,1682,24.169,0,1,0,Halide internals
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,1775,21.176,0,1,0,Halide internals
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,1775,21.175,0,1,0,Halide internals
cxx_gt_to_le,halide_dotProduct.halide_generated.cpp,1780,28.174,0,1,0,Halide internals
cxx_gt_to_ge,halide_dotProduct.halide_generated.cpp,1780,28.173,0,1,0,Halide internals
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,2034,31.242,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,2723,48.237,0,1,0,Halide internals
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,2723,22.236,0,1,0,Halide internals
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,2749,15.24,0,1,0,Halide internals
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,2750,27.239,0,1,0,Halide internals
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,2750,27.238,0,1,0,Halide internals
cxx_post_inc_to_post_dec,halide_dotProduct.halide_generated.cpp,2750,42.241,0,1,0,Halide internals
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,2909,15.228,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,2917,15.229,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,2925,16.23,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3009,18.192,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3016,18.193,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3023,18.194,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3030,18.195,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3037,18.196,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3044,18.197,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3050,18.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3050,18.201,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3051,21.177,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3052,16.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3052,16.202,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3056,22.178,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3057,22.179,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3061,16.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3061,16.203,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3067,16.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3067,16.204,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3073,18.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3073,18.205,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3074,21.18,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3075,21.181,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3076,18.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3076,18.206,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3080,22.182,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3081,22.183,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3082,22.184,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3083,22.185,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3087,16.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3087,16.207,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3093,19.198,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3099,19.199,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3105,19.2,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3113,20.208,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3113,20.22,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3123,20.209,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3123,20.221,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3133,20.222,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3133,20.21,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3160,23.231,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3167,24.232,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3174,24.233,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3180,17.223,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3180,17.21,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3181,22.186,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3182,20.224,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3182,20.21,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3186,23.187,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3187,24.188,0,1,0,Halide internals - input validation
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,3197,23.235,0,1,0,Undfined behavior even if we can implement it in Halide. Would require considerable change to source code to replicate in Halide
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3198,66.189,0,1,0,"A semantically equivalent mutant is possible if we comment out         dotProduct(x) += select(x == 0, vectorA(r) * vectorB(r), 0.0f);"
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,3198,62.226,0,1,0,Not possible in Halide due to validations
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,3198,62.225,0,1,0,Not possible in Halide due to validations
cxx_post_inc_to_post_dec,halide_dotProduct.halide_generated.cpp,3198,94.234,0,1,0,Not possible in Halide due to validations
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3202,42.19,0,1,0,Halide internal
cxx_mul_to_div,halide_dotProduct.halide_generated.cpp,3204,23.227,1,0,0,Same mutation in source code
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3205,23.191,1,0,0,Same mutation in source code
,,,,,,,
note: scalar is turned off because it causes segmentation fault,,,,,,,
There are other mutations possible that mull did not apply. For example mul to add,,,,,,,
Semantically equivalent mutants,,,,,,,